Unnamed: 0,full university name,university name,branch name,location,full_university_name_modified
0,دانشگاه آیت اله بروجردی - بروجرد,دانشگاه آیت اله بروجردی,,بروجرد,آیت اله بروجردی بروجرد
1,دانشگاه آیت اله حایری - میبد,دانشگاه آیت اله حایری,,میبد,آیت اله حایری میبد
2,دانشگاه اراک,دانشگاه اراک,,اراک,اراک
3,دانشگاه اردکان,دانشگاه اردکان,,اردکان,اردکان
4,دانشگاه ارومیه,دانشگاه ارومیه,,ارومیه,ارومیه
5,دانشگاه ارومیه (محل تحصیل آموزشکده فنی خوی),دانشگاه ارومیه,آموزشکده فنی خوی,خوی,ارومیه فنی خوی
6,دانشگاه ارومیه (محل تحصیل مرکز آموزش عالی شهید باکری میاندواب),دانشگاه ارومیه,مرکز آموزش عالی شهید باکری میاندواب,میاندواب,ارومیه مرکز آموزش عالی شهید باکری میاندواب
7,دانشگاه اصفهان,دانشگاه اصفهان,,اصفهان,اصفهان
8,دانشگاه الزهرا - تهران,دانشگاه الزهرا,,تهران,الزهرا تهران
9,دانشگاه ایلام,دانشگاه ایلام,,ایلام,ایلام
